,AUC
k_nearest_neighbors.recursive_feature_elimination_scaled.smote,0.6138674541516945
k_nearest_neighbors.recursive_feature_elimination_scaled.border1,0.6104209576174009
k_nearest_neighbors.recursive_feature_elimination_scaled.adasyn,0.6184506443197759
k_nearest_neighbors.recursive_feature_elimination_scaled.smenn,0.5842178756965271
k_nearest_neighbors.recursive_feature_elimination_scaled.smtomek,0.6196708000568041
k_nearest_neighbors.recursive_feature_addition_scaled.random,0.6751178829312279
k_nearest_neighbors.recursive_feature_addition_scaled.tomek,0.5583010153429627
k_nearest_neighbors.recursive_feature_addition_scaled.enn,0.5923094199440545
k_nearest_neighbors.recursive_feature_addition_scaled.allknn,0.5949547594080303
k_nearest_neighbors.recursive_feature_addition_scaled.smote,0.6235874176604137
k_nearest_neighbors.recursive_feature_addition_scaled.border1,0.6157949981309345
k_nearest_neighbors.recursive_feature_addition_scaled.adasyn,0.6246095428107387
k_nearest_neighbors.recursive_feature_addition_scaled.smenn,0.5815903186551546
k_nearest_neighbors.recursive_feature_addition_scaled.smtomek,0.6243145936219946
decision_tree.extra_trees_classifier_scaled.random,0.6761812155667689
decision_tree.extra_trees_classifier_scaled.tomek,0.5777283363114166
decision_tree.extra_trees_classifier_scaled.enn,0.6090129143433897
decision_tree.extra_trees_classifier_scaled.allknn,0.6195903329447423
decision_tree.extra_trees_classifier_scaled.smote,0.6175029981857247
decision_tree.extra_trees_classifier_scaled.border1,0.6141122583949145
decision_tree.extra_trees_classifier_scaled.adasyn,0.6142196888584532
decision_tree.extra_trees_classifier_scaled.smenn,0.5720368341281027
decision_tree.extra_trees_classifier_scaled.smtomek,0.622964664917013
decision_tree.random_forest_classifier_scaled.random,0.6780688798570402
decision_tree.random_forest_classifier_scaled.tomek,0.571527638489454
decision_tree.random_forest_classifier_scaled.enn,0.5987244575664198
decision_tree.random_forest_classifier_scaled.allknn,0.6076675051441128
decision_tree.random_forest_classifier_scaled.smote,0.6170889294654515
decision_tree.random_forest_classifier_scaled.border1,0.6135601662455791
decision_tree.random_forest_classifier_scaled.adasyn,0.6124550038230153
decision_tree.random_forest_classifier_scaled.smenn,0.5745623288461013
decision_tree.random_forest_classifier_scaled.smtomek,0.6240841427353092
decision_tree.recursive_feature_elimination_scaled.random,0.6746139267239184
decision_tree.recursive_feature_elimination_scaled.tomek,0.5852287805098977
decision_tree.recursive_feature_elimination_scaled.enn,0.6052667687409099
decision_tree.recursive_feature_elimination_scaled.allknn,0.6078376778699915
decision_tree.recursive_feature_elimination_scaled.smote,0.6362970293892595
decision_tree.recursive_feature_elimination_scaled.border1,0.6338892234948243
decision_tree.recursive_feature_elimination_scaled.adasyn,0.6375579981192763
decision_tree.recursive_feature_elimination_scaled.smenn,0.5781245825098907
decision_tree.recursive_feature_elimination_scaled.smtomek,0.6472182832797729
decision_tree.recursive_feature_addition_scaled.random,0.6701195209172583
decision_tree.recursive_feature_addition_scaled.tomek,0.5848394794474369
decision_tree.recursive_feature_addition_scaled.enn,0.6023173273275436
decision_tree.recursive_feature_addition_scaled.allknn,0.6080093435619834
decision_tree.recursive_feature_addition_scaled.smote,0.6343628305898553
decision_tree.recursive_feature_addition_scaled.border1,0.6305081852880331
decision_tree.recursive_feature_addition_scaled.adasyn,0.6320263151970472
decision_tree.recursive_feature_addition_scaled.smenn,0.579727029631672
decision_tree.recursive_feature_addition_scaled.smtomek,0.6449354435824554
adaboost_classifier.extra_trees_classifier_scaled.random,0.8178238081952167
adaboost_classifier.extra_trees_classifier_scaled.tomek,0.8229212801942394
adaboost_classifier.extra_trees_classifier_scaled.enn,0.8229487446842833
adaboost_classifier.extra_trees_classifier_scaled.allknn,0.8222712395530758
adaboost_classifier.extra_trees_classifier_scaled.smote,0.8171682680167892
adaboost_classifier.extra_trees_classifier_scaled.border1,0.8149382020264632
adaboost_classifier.extra_trees_classifier_scaled.adasyn,0.8158570069970069
adaboost_classifier.extra_trees_classifier_scaled.smenn,0.8087077199401018
adaboost_classifier.extra_trees_classifier_scaled.smtomek,0.8162151019335419
adaboost_classifier.random_forest_classifier_scaled.random,0.8185258442623287
adaboost_classifier.random_forest_classifier_scaled.tomek,0.8228684265644
adaboost_classifier.random_forest_classifier_scaled.enn,0.8237063248633071
adaboost_classifier.random_forest_classifier_scaled.allknn,0.823046287452736
adaboost_classifier.random_forest_classifier_scaled.smote,0.8125440958220574
adaboost_classifier.random_forest_classifier_scaled.border1,0.8148145322860424
adaboost_classifier.random_forest_classifier_scaled.adasyn,0.8114534102706115
adaboost_classifier.random_forest_classifier_scaled.smenn,0.8004517703335626
adaboost_classifier.random_forest_classifier_scaled.smtomek,0.8122978947278447
adaboost_classifier.recursive_feature_elimination_scaled.random,0.8209273052117606
adaboost_classifier.recursive_feature_elimination_scaled.tomek,0.82546114703819
adaboost_classifier.recursive_feature_elimination_scaled.enn,0.8251504758863119
adaboost_classifier.recursive_feature_elimination_scaled.allknn,0.8240811667162253
adaboost_classifier.recursive_feature_elimination_scaled.smote,0.8141500229976278
adaboost_classifier.recursive_feature_elimination_scaled.border1,0.8147559891316912
adaboost_classifier.recursive_feature_elimination_scaled.adasyn,0.816335857494377
adaboost_classifier.recursive_feature_elimination_scaled.smenn,0.799126064605635
adaboost_classifier.recursive_feature_elimination_scaled.smtomek,0.8142369260574408
adaboost_classifier.recursive_feature_addition_scaled.random,0.8159009442860582
adaboost_classifier.recursive_feature_addition_scaled.tomek,0.8207906217959554
adaboost_classifier.recursive_feature_addition_scaled.enn,0.8202728584587945
adaboost_classifier.recursive_feature_addition_scaled.allknn,0.8199370287338749
adaboost_classifier.recursive_feature_addition_scaled.smote,0.8123355006794114
adaboost_classifier.recursive_feature_addition_scaled.border1,0.8107699722248962
adaboost_classifier.recursive_feature_addition_scaled.adasyn,0.8130901047075193
adaboost_classifier.recursive_feature_addition_scaled.smenn,0.7951572319124898
adaboost_classifier.recursive_feature_addition_scaled.smtomek,0.8125803977463767
neural_network.extra_trees_classifier_scaled.random,0.805065146018869
neural_network.extra_trees_classifier_scaled.tomek,0.8038565318717685
neural_network.extra_trees_classifier_scaled.enn,0.8038681200035972
neural_network.extra_trees_classifier_scaled.allknn,0.803697910701903
neural_network.extra_trees_classifier_scaled.smote,0.8138557787678936
neural_network.extra_trees_classifier_scaled.border1,0.8075075781088419
neural_network.extra_trees_classifier_scaled.adasyn,0.8127838630808109
neural_network.extra_trees_classifier_scaled.smenn,0.8093361045215305
neural_network.extra_trees_classifier_scaled.smtomek,0.814301184083468
neural_network.random_forest_classifier_scaled.random,0.7764156271156608
neural_network.random_forest_classifier_scaled.tomek,0.7911958598522749
neural_network.random_forest_classifier_scaled.enn,0.7944801673196062
neural_network.random_forest_classifier_scaled.allknn,0.7930020385203772
neural_network.random_forest_classifier_scaled.smote,0.8052345156093587
neural_network.random_forest_classifier_scaled.border1,0.7981354792106097
neural_network.random_forest_classifier_scaled.adasyn,0.8089916469723227
neural_network.random_forest_classifier_scaled.smenn,0.7981998900442799
neural_network.random_forest_classifier_scaled.smtomek,0.8060686408321315
neural_network.recursive_feature_elimination_scaled.random,0.7527072465594601
neural_network.recursive_feature_elimination_scaled.tomek,0.7754288114857228
neural_network.recursive_feature_elimination_scaled.enn,0.7737901985130385
neural_network.recursive_feature_elimination_scaled.allknn,0.7791260520798087
neural_network.recursive_feature_elimination_scaled.smote,0.8032252564197472
neural_network.recursive_feature_elimination_scaled.border1,0.7997740373068255
neural_network.recursive_feature_elimination_scaled.adasyn,0.8021781138110518
neural_network.recursive_feature_elimination_scaled.smenn,0.7921686983632878
neural_network.recursive_feature_elimination_scaled.smtomek,0.8024911512882137
neural_network.recursive_feature_addition_scaled.random,0.7591645824933185
neural_network.recursive_feature_addition_scaled.tomek,0.7740552957864963
neural_network.recursive_feature_addition_scaled.enn,0.778613966866272
neural_network.recursive_feature_addition_scaled.allknn,0.7783543772665192
neural_network.recursive_feature_addition_scaled.smote,0.7987040669177747
neural_network.recursive_feature_addition_scaled.border1,0.7961626821924587
neural_network.recursive_feature_addition_scaled.adasyn,0.7982130691253815
neural_network.recursive_feature_addition_scaled.smenn,0.7907692089501811
neural_network.recursive_feature_addition_scaled.smtomek,0.7983969614836787
